song_id,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_20,label
1,-129.57576,122.92955,-22.193884,49.484856,-24.858639,33.370686,-13.389397,21.018896,-6.0450215,6.0705376,-0.97105205,1.3205872,2.0542238,-8.536629,8.460932,-5.219547,4.2072215,-5.6367292,5.9879417,-1.9390296,0
2,-131.59343,129.64317,-55.656467,49.28719,-16.282686,36.13978,0.74105936,9.033503,0.8377883,8.133349,6.6891994,4.174528,14.427233,-0.645022,12.443151,-0.04659398,3.2842894,1.0869747,4.5045276,-0.7232117,0
3,-183.29842,117.45908,-22.033175,24.566383,-31.20673,14.176015,-13.77835,1.269202,-3.2137775,1.1855924,1.441255,-7.469764,-5.896905,-8.906673,0.002047279,-5.2009344,-1.9556085,-5.2492204,2.4726436,-1.3659422,0
4,-95.231094,153.05118,-31.87687,46.072495,-15.342759,24.378073,-9.47324,8.595106,-1.8030255,3.9016676,2.7839267,-0.16413628,7.0181117,-3.6348598,5.7382994,0.31352368,6.666144,-0.73274386,6.308126,-0.6084886,0
5,-155.08176,109.9862,-17.222094,56.357445,-18.746206,35.473766,-13.958752,8.242919,-10.633527,4.7134995,-0.9287001,-0.7760324,5.6643343,-6.7933955,7.9134383,-2.0889568,4.183787,-3.5998876,7.1572375,-1.581926,0
6,-110.00409,116.05,-41.04496,41.00117,-28.70915,35.798405,-15.901432,11.139621,-6.678619,9.754884,0.17009774,0.31361696,5.024309,-1.6177425,8.811156,-4.113819,8.466724,-5.3986917,5.4507732,-2.0784583,0
7,-108.03129,144.00168,-43.32284,48.005135,-21.105341,26.4434,-18.036709,6.3080053,-2.774504,4.152989,-1.5664029,-0.71993077,7.8494496,-2.4318879,6.5627007,-3.2965958,6.6617274,-3.61579,4.340887,-0.7779462,0
8,-145.33658,128.85713,-37.2599,25.663822,-29.64625,21.187119,-18.463493,4.177561,-4.383364,7.1777267,-2.7459023,-1.9699577,8.306374,-0.44972697,6.9049287,-4.1932564,6.9034142,-7.1634374,0.24942148,-0.023900652,0
9,-187.85017,138.95082,-9.229346,43.675663,-9.437135,19.010347,-14.314977,9.778295,4.523036,3.262997,-0.25973734,4.2200265,11.11564,-0.63564926,12.73071,2.341728,8.697741,6.335316,7.4332743,0.013626618,0
10,-162.55086,125.19935,-24.72304,59.351387,-2.963016,40.78862,-13.536319,12.707529,3.6607125,2.3547335,-0.5556418,4.6175127,4.603077,-5.1108036,6.881828,-2.6578355,3.1295383,-5.6171365,6.5642,0.26012313,0
11,-169.97728,128.84354,-17.310743,47.588497,-0.7558658,25.743704,-15.950604,11.785698,0.38345528,-0.7023354,-1.6958382,1.2160755,1.4361233,-4.603,3.8531709,-3.9376874,4.1353025,-4.7202415,2.2637205,-2.4477642,0
12,-181.3504,108.74622,-22.795536,38.36455,-8.7786875,27.84765,-10.169499,10.299819,-0.55549014,6.6069603,2.9143639,6.029327,3.8147147,-1.1245509,5.1536236,-2.1937065,6.766011,-2.3524547,7.3154902,-5.260377,0
13,-130.84044,117.87525,-29.243027,46.129597,-15.054996,34.261543,-12.920995,26.973604,-3.754371,6.9945297,4.578058,-3.7304645,4.7711177,-7.8507504,3.9493783,-4.0584335,6.6581745,-9.574457,1.5129334,-4.7229104,0
14,-165.0322,140.06487,-7.841932,43.72009,-11.918219,27.438547,-4.314935,4.156955,1.4621723,4.0271635,-0.9310957,-5.8595705,2.4395638,-2.4939194,11.554586,2.3042986,-2.5938828,2.2888942,7.8496304,-5.61808,0
15,-160.93462,150.67593,-16.078281,43.49265,-15.462221,28.054878,-2.5780997,-1.6908964,1.6697867,-0.5806206,5.492039,-1.4380438,2.8455248,-1.865694,4.845568,0.17122893,-0.15462846,-1.4427816,3.548756,-1.0495265,0
16,-157.04358,128.58519,-19.663782,55.020912,-18.84583,28.284254,-16.937187,10.928114,5.1562366,-0.35781467,2.1901453,5.967606,8.487732,-0.7002625,11.471076,0.30217186,4.9376855,-0.44117975,3.8204446,-3.0351245,0
17,-177.16057,133.64046,-20.87554,32.576538,-15.015588,24.799894,-13.563868,2.426453,-4.1134033,-2.138734,-3.6347556,-1.0157502,1.0777959,-6.6684246,3.2602894,-5.43108,1.3086786,-2.6531415,3.1754992,-3.3595061,0
18,-194.5674,131.89362,-20.334696,42.404926,-2.8772545,19.727468,-6.000172,8.567674,5.053884,4.6690664,6.9631896,3.316063,6.734954,-1.8547775,6.423669,-1.5025097,1.715228,3.3181086,7.3025384,4.752054,0
19,-112.94915,145.71426,-35.57358,52.170002,-7.6077237,35.22376,-12.552383,7.764919,-0.21967536,4.5863667,1.491067,-1.1438853,5.387877,-0.35054117,8.642005,-1.6952112,7.16337,-2.4349437,6.783296,-1.3471471,0
20,-143.46017,104.22945,-24.60484,55.005146,-27.215513,30.78904,-18.905405,13.156438,-1.2232776,5.209432,-0.32981706,-2.309262,6.1545925,-4.0782685,9.492442,-4.040255,8.035481,-3.2799954,4.067357,-1.4182825,0
21,-195.85014,138.07516,-3.1887405,23.99793,-2.2149954,40.324192,4.8504453,3.7576933,11.704316,-0.33277637,2.2419074,-1.8689961,-0.86058015,-2.3787286,5.2497945,-2.8649848,-8.589319,-2.3595872,3.570175,-4.9791784,0
22,-222.99458,104.798874,-2.440973,33.76462,-21.263939,29.407784,-3.784425,17.211922,5.9525037,8.733509,7.918925,2.6754413,4.2510343,-1.4809115,10.341767,2.072467,7.512429,3.8174622,7.8449283,1.8186506,0
23,-161.89032,140.41153,-25.464434,45.11669,-15.9685135,20.37141,-10.859232,10.066795,-0.83215016,5.1545157,3.893174,2.0262685,3.0845582,-2.6122658,8.129548,-2.8586268,4.8889236,-1.7094909,5.1778064,-1.6563805,0
24,-190.39746,139.63596,-16.886425,46.565865,-7.5408454,20.308851,-3.9064004,9.609671,0.09723724,1.4102538,3.5187535,-2.6949093,-0.7838045,-7.2403727,3.4796188,0.82336926,-0.10154978,-3.5947523,2.7869556,-0.86785936,0
25,-163.3774,141.64633,-27.766174,36.828403,-20.217192,13.663358,-11.06405,1.2946957,3.65468,5.776275,8.594852,3.3699362,6.0896845,-4.813999,3.6260843,1.8791316,7.926167,2.6534803,5.741506,1.8268648,0
26,-210.92857,156.39236,16.977877,29.379396,-7.5915065,14.100041,-8.258193,12.827016,5.0594444,0.37420738,3.7478578,5.6590204,9.167818,3.0430107,10.09713,7.3640037,5.807341,-1.5618789,4.7646723,1.7714783,0
27,-128.54451,167.82886,-36.871048,41.00146,1.8611124,27.187668,-4.021205,10.122906,5.161077,1.824277,7.336045,-0.41152343,6.808496,-0.97615445,4.455796,3.0146236,3.6602445,-1.7450182,2.523022,0.6395411,0
28,-276.03574,111.46219,2.8484917,29.626053,-0.6308148,17.830376,-3.930086,7.7589664,-1.9231896,-6.2778435,-5.631429,-5.6846943,-3.899489,-11.51242,-8.974635,-10.373968,-5.646768,-9.265988,-4.4206796,-8.937648,0
29,-154.04716,143.27522,-28.647093,35.125175,-18.912724,31.23989,-1.5786763,6.943544,-1.2562016,5.4123516,3.602287,2.045963,10.938755,-0.33792827,6.2542906,0.6590067,9.149382,0.92085326,7.0180035,3.606158,0
30,-167.49236,123.88162,-34.451878,18.469748,-12.157919,36.814053,-5.8157845,17.91414,1.107198,11.09759,10.453588,-8.17126,-0.05041087,0.9942125,14.976427,6.1668344,6.028478,-2.2620254,3.0212154,-1.6613292,0
31,-197.782,132.60957,-9.235351,29.37039,-7.799169,34.345158,-3.0022006,19.069412,11.487418,9.021709,8.92214,11.35118,11.510187,6.8155956,9.422398,2.3823497,11.564028,0.41480148,3.2337856,-1.3842773,0
32,-205.83032,136.56065,-5.49402,36.37521,-4.495837,25.00098,-5.6832266,7.890617,2.7296298,-2.073704,11.656501,1.1850104,5.341318,2.8562255,-0.2800121,-2.3050048,6.469578,0.7828949,-1.6800708,1.4918859,0
33,-171.22978,122.93594,-1.3830464,58.025402,-13.572952,26.087217,-11.99514,6.5828147,-5.159772,6.3881683,-5.9285145,-5.209901,0.22844222,-3.4507189,2.9880633,-6.1576123,3.4393444,-4.295788,3.3932905,-2.7173424,0
34,-174.59763,159.20135,2.7409375,36.256508,-20.264881,28.23295,-7.9380846,2.4348865,11.359925,0.69269896,6.984895,7.5213823,3.7594426,4.576085,9.393816,0.65390426,5.7229776,5.5727005,7.232826,0.24679296,0
35,-105.47195,108.76457,-60.36138,44.10705,-27.939173,25.279816,-20.319065,13.451771,-3.0669725,2.874327,6.717795,4.8558607,3.16358,-6.395169,7.0114646,-8.306779,5.296897,-3.6683376,1.6274755,0.36203188,0
36,-152.08754,166.33206,-30.159985,22.481947,-8.78224,16.006927,-6.6682744,6.1965857,-1.6857234,2.7148836,0.6674057,-5.3082957,5.621253,-2.5157037,3.9704692,2.7689803,-0.9706833,-3.3255637,8.364677,-3.1558816,0
